awayPlayers,awayPlayersId,awayPlayersX,awayPlayersY,awayTeamAcronym,awayTeamFullName,awayTeamGoal,awayTeamId,card,corner,country,cross,date,foulcommit,goal,homePlayers,homePlayersId,homePlayersX,homePlayersY,homeTeamAcronym,homeTeamFullName,homeTeamGoal,homeTeamId,league,matchId,possession,season,shotoff,shoton,stage
"P.Gallese,L.Rodriguez,H.Cervantes,L.Lopez,H.Cid,A.Miguel Zamora,G.Penalba,L.Sanchez,J.Perez,R.Acosta,J.Furch,J.Albin,E.Hernandez,M.Cahais,J.Paganoni,F.Rivera,J.Kayser,M.Garcia","116920,209304,71700,70253,464725,70536,39233,354077,316022,589418,211074,37469,70204,21416,70490,571773,783731,783732",,,VER,Veracruz,1,6382,,,Mexico,,2016-08-14 23:00,,,"O.Jimenez,B.Angulo,B.Pires,J.Patino,E.Sandez,E. Arevalo,L. Mendoza,D.De la Torre,J. A. Escoboza,J.Fabbro,Derley,J.Ayovi,H.Ruiz,D.Villalpando,J. Orozco,F.Araujo,L.Sanchez,Rafinha","463774,110331,500541,675269,591855,56576,195583,62341,277141,96815,478987,208343,277276,518567,150712,121652,111886,450285",,,JAG,Jaguares Chiapas,1,6621,Mexico Liga MX,2258055,,2016/2017,,,5
"A.Palacios,J.Van Rankin,G.Alcoba,D.Veron,L.Fuentes,K.Escamilla,J.Gallardo,A. Castro,P.Barrera,F. Martinez,M.Britos,S.Berjon,A.Saldivar Medina,E.Herrera,M.Alatorre,J.Garcia Fernandez,A.Nieto,S.Palacios","103783,310528,56830,70813,167052,610642,597976,7059,70865,237608,166119,213712,212486,277263,70918,178176,211102,651114",,,PUM,Pumas,3,1946,,,Mexico,,2016-11-21 00:00,,,"C.Campestrini,E.Duenas,C.Orrantia,O.Rojas,P.Araujo,P.Miguez,D.Toledo,F.Torres,D.Escudero,J.Amione,A.Navarro,F.Villasenor,C.Gutierrez,F.Arizala,C.Bermudez,M.Alustiza,A.Canelo,D.Schmidt","147562,70951,201110,2847,70424,116919,70858,71014,56867,200951,57077,71038,163150,50203,70577,111033,616400,570767",,,PUE,Puebla,0,7847,Mexico Liga MX,2258164,,2016/2017,,,17
"W.Yarbrough,E. Velarde Calvillo,G.Burdisso,F.Navarro,D.Novaretti,E.Hernandez,L. Montes,A. Mejia,L.Lopez,G.Cano,M.Boselli,H.Burbano,C.Guzman,C.Martinez,M.Moralez,J.Cuevas,C.Valdez,J.Gonzalez","342699,70809,166510,115731,184132,106134,75059,50341,534735,113616,18859,261543,294973,71527,29587,113963,70485,121042",,,LEO,Leon,3,1841,,,Mexico,,2016-11-19 23:00,,,"J. D. J. Corona,Maza,J.Dominguez,E. Andia,J.Garcia,Gato Silva,C.Gimenez,R.Baca,R.Ruiz Toledo,J. Rojas,J.Benitez,V.Vazquez,G.Allison,A. L. Ramirez,A. Aldrete,A.Rojas,R.Cota,V.Zuniga","70878,30964,70199,193930,731682,50027,74585,274099,277145,114065,206856,113868,207791,50095,70827,146796,611730,659560",,,CRU,Cruz Azul,2,6578,Mexico Liga MX,2258158,,2016/2017,,,17
"O.Jimenez,B.Angulo,B.Pires,F.Araujo,J.Patino,L. Mendoza,D.De la Torre,D.Villalpando,J.Nava,J.Fabbro,Derley,W.Paredes,A.Marin,J.Ayovi,M.Viana,H.Ruiz,J. A. Escoboza,J. Orozco","463774,110331,500541,121652,675269,195583,62341,518567,111893,96815,478987,71544,303936,208343,193709,277276,277141,150712",,,JAG,Jaguares Chiapas,0,6621,,,Mexico,,2016-11-07 00:00,,,"A.Marchesin,J.Abella,N.Araujo,C.Roberto Izquierdoz,G.Arteaga,J. Molina,W.Sandoval,U.Davila,Djaniny,U.Rivas,J.Rodriguez,D.De Buen,M.Cuero,B.Rabello,F.Hinestroza,J.Villafana,M.Bravo,J.Vela-Alvizu","164020,466755,207793,210726,797924,112081,346304,183484,281338,533769,495107,272616,346379,206679,323438,314442,18964,242197",,,SAN,Santos,2,7857,Mexico Liga MX,2258155,,2016/2017,,,16
"W.Yarbrough,E. Velarde Calvillo,G.Burdisso,D.Novaretti,C.Guzman,J.Gonzalez,E.Hernandez,L. Montes,C.Valdez,A.Rocha,G.Cano,C.Torres,H.Burbano,M.Ibarra,C.Martinez,M.Boselli,L.Lopez,J.Cuevas","342699,70809,166510,184132,294973,121042,106134,75059,70485,418259,113616,534680,261543,590461,71527,18859,534735,113963",,,LEO,Leon,0,1841,,,Mexico,,2016-07-31 18:00,,,"A.Palacios,D.Veron,L.Fuentes,M.Alatorre,A. Castro,J.Cortes,P.Barrera,A.Gonzalez,J.Gallardo,M.Britos,E.Herrera,J.Van Rankin,K.Escamilla,F. Martinez,S.Berjon,A.Saldivar Medina,L.Quintana,A.Nieto","103783,70813,167052,70918,7059,183539,70865,165706,597976,166119,277263,310528,610642,237608,213712,212486,446003,211102",,,PUM,Pumas,1,1946,Mexico Liga MX,2258036,,2016/2017,,,3
"A. Dominguez,C.Montes,I.Piris,J. M. Basanta,H.Mier,W. Gargano,E.Cardona,C.Sanchez,W. Ayovi,R.Funes Mori,D. Pabon,E.Juarez,A.Gonzalez,Y.Chara,S.Rivera,L.Cardenas,G.Pacheco,A.Aguilar","52445,664644,195190,18521,229821,56585,177507,188589,30332,190511,158263,111885,292903,244298,432638,514295,772311,783510",,,MON,Monterrey,3,7849,,,Mexico,,2016-08-21 18:00,,,"A.Palacios,D.Veron,L.Fuentes,M.Alatorre,A. Castro,J.Cortes,P.Barrera,F. Martinez,A.Gonzalez,J.Gallardo,M.Britos,J.Van Rankin,K.Escamilla,S.Berjon,A.Saldivar Medina,J.Escamilla,E.Herrera,L.Quintana","103783,70813,167052,70918,7059,183539,70865,237608,165706,597976,166119,310528,610642,213712,212486,659204,277263,446003",,,PUM,Pumas,5,1946,Mexico Liga MX,2258064,,2016/2017,,,6
"J. D. J. Corona,O.Mendoza,J.Dominguez,J.Velazquez,E. Andia,Gato Silva,J. Rojas,C.Gimenez,R.Baca,J.Guerron,A. L. Ramirez,G.Allison,A. Aldrete,A.Rojas,R.Cota,J.Garcia,J.Benitez,J.Garcia","70878,559999,70199,188477,193930,50027,114065,74585,274099,52490,50095,207791,70827,146796,611730,531757,206856,731682",,,CRU,Cruz Azul,0,6578,,,Mexico,,2016-09-25 01:00,,,"N.Guzman,Juninho,H. Ayala Castro,J. Torres Nilo,J.Duenas,L.Zelarayan,J.Torres,V.Sosa,G.Pizarro,J. Aquino,A.Gignac,I.Jimenez,A.Delort,D.Alvarez,M.Viniegra Garcia,E.Palos,J.Rivas,A.Acosta","193993,19287,70455,70468,163152,322965,95292,41552,188116,172324,38098,141650,183530,73680,70237,70207,70219,199355",,,TIG,Tigres,0,8561,Mexico Liga MX,2258104,,2016/2017,,,11
"N.Guzman,I.Jimenez,Juninho,H. Ayala Castro,A.Acosta,L.Zelarayan,J.Torres,V.Sosa,G.Pizarro,J. Aquino,A.Gignac,M. A. Herrera,M.Viniegra Garcia,E.Palos,L.Quinones,J.Damm,L.Rodriguez,J.Quinones","193993,141650,19287,70455,199355,322965,95292,41552,188116,172324,38098,360278,70237,70207,425810,311701,200875,720560",,,TIG,Tigres,3,8561,,,Mexico,,2016-07-31 03:00,,,"H.Gonzalez,P.Aguilar,O.Mares Martinez,B.Valdez,P. Aguilar,O.Martinez,R.Sambueza,J.Guerrero,R. Ibarra,S.Romero,C.Quintero,G.Buron,E.Pimentel,J.Guemez,William da Silva,D.Pineda,J.Moreno,J.Leon","188123,106128,71033,315632,68585,157424,18651,72147,207243,213106,51334,497822,277275,471119,128362,624463,277273,737715",,,CFA,CF America,0,6576,Mexico Liga MX,2258035,,2016/2017,,,3
"N.Guzman,I.Jimenez,Juninho,H. Ayala Castro,A.Acosta,L.Zelarayan,J.Torres,V.Sosa,G.Pizarro,J. Aquino,A.Gignac,M. A. Herrera,M.Viniegra Garcia,L.Silva,E.Palos,L.Quinones,J.Damm,J.Duenas","193993,141650,19287,70455,199355,322965,95292,41552,188116,172324,38098,360278,70237,309791,70207,425810,311701,163152",,,TIG,Tigres,0,8561,,,Mexico,,2016-08-14 18:00,,,"L.Garcia,P.da Silva,O. Gonzalez,C.Rodriguez,G.Flores Zuniga,C.Esquivel,A.Rios Martinez,E.Trejo,R.Gomez,E.Vega,E.Triverio,A.Galindo,M.Velasco,M.Leite,A. Matias,M.Centeno,F.Uribe,P.Barrientos","417520,31103,50590,75057,71540,71030,163132,179076,445560,728365,468984,30572,62340,133533,31206,70887,183547,18733",,,TOL,Toluca,0,6618,Mexico Liga MX,2258054,,2016/2017,,,5
"F.Vilar,J. C. Valenzuela,D.Perez,M.Orozco,E.Aguilera,G.Rodriguez,G.Hauche,D. Moreno,A.Hurtado,K.Gutierrez,M.Caraglio,Y.Corona,Juninho,V.Malcorra,H.Martin,J.Nunez,G.Lajud,J. C. Medina","70512,70475,147564,72122,209273,586768,41018,50111,206227,348880,113757,178169,198473,362229,558452,70989,528122,70477",,,TIJ,Tijuana,1,162418,,,Mexico,,2016-11-19 03:00,,,"P.Gallese,L.Rodriguez,H.Cervantes,L.Lopez,J.Paganoni,G.Penalba,D.Villalva,A.Luna,H.Cid,J.Furch,A.Vuletich,E.Hernandez,J.Perez,R.Acosta,E.Andrade,R.Noya,J.Chiapas,D.Tejeda","116920,209304,71700,70253,70490,39233,164723,206699,464725,211074,256728,70204,316022,589418,70220,611545,70816,812295",,,VER,Veracruz,2,6382,Mexico Liga MX,2258156,,2016/2017,,,17
