awayPlayers,awayPlayersId,awayPlayersX,awayPlayersY,awayTeamAcronym,awayTeamFullName,awayTeamGoal,awayTeamId,card,corner,country,cross,date,foulcommit,goal,homePlayers,homePlayersId,homePlayersX,homePlayersY,homeTeamAcronym,homeTeamFullName,homeTeamGoal,homeTeamId,league,matchId,possession,season,shotoff,shoton,stage
"M.Cabrera,J.Huiqui,Y.Corona,A. L. Ramirez,M.Sabah,L.Sandoval Oliva,R.Marquez,L.Noriega,A.Sepulveda,O.Sanchez,A.Galindo,J.Estrada,C.Morales,F.Baloy,C. Suarez,R.Salinas Ortiz,O.Mares Martinez,C.Quintero","70259,30584,178169,50095,70229,71050,70836,97892,215428,30777,30572,70971,70984,19248,52495,72130,71033,51334",,,MOR,Monarcas Morelia,2,6575,,,Mexico,,2011-11-02 02:30,,,"O.Sanchez,A.Galindo,J.Estrada,C.Morales,F.Baloy,C. Suarez,R.Salinas Ortiz,O.Mares Martinez,C.Quintero,D.Luduena,O. Peralta,C.Ochoa,J.Cardenas,F.Vilar,E. P. Herrera,J.Gastelum,J. Rojas,E.Lugo","30777,30572,70971,70984,19248,52495,72130,71033,51334,71013,75625,71549,72148,70512,186936,167633,114065,70221",,,SAN,Santos,0,7857,Mexico Liga MX,1019185,,2011/2012,,,6
"M.Viniegra Garcia,L.Lobos,J.Rivas,D.Alvarez,M.Pinto,J.Lacerda,N.Vidrio,A.Zamora,H.Rodriguez,G.Rojas,F.Torres,J.Paganoni,E.Cuahutle,G. Welcome,F.Santos,E.Palos,C. Salcido,H. Ayala Castro","70237,33721,70219,73680,49804,56841,114058,186059,200588,71542,71014,70490,260014,129811,113397,70207,34479,70455",,,TIG,Tigres,1,8561,,,Mexico,,2011-08-28 02:45,,,"M.Pinto,J.Lacerda,N.Vidrio,A.Zamora,H.Rodriguez,G.Rojas,F.Torres,J.Paganoni,E.Cuahutle,G. Welcome,F.Santos,E.Palos,C. Salcido,H. Ayala Castro,E.Borelli,I.Jimenez,H.Mancilla,Danilinho","49804,56841,114058,186059,200588,71542,71014,70490,260014,129811,113397,70207,34479,70455,208073,141650,74591,80559",,,ATL,Atlas,0,6577,Mexico Liga MX,1019194,,2011/2012,,,7
"J.Rodriguez,O.Razo,E.Andrade,C.Valdez,J.Hernandez,J. Martinez,F.Arizala,J.Chavez,L.Rey,L.Ricardo Esqueda Ornelas,F.Vilar,E. P. Herrera,C.Guzman,J.Huiqui,J.Gastelum,J. Rojas,J.Lozano,E.Lugo","121122,103204,70220,70485,159848,51360,50203,70226,6857,94801,70512,186936,294973,30584,167633,114065,30583,70221",,,JAG,Jaguares Chiapas,0,6621,,,Mexico,,2011-11-05 02:10,,,"F.Vilar,E. P. Herrera,C.Guzman,J.Huiqui,J.Gastelum,J. Rojas,J.Lozano,E.Lugo,A. L. Ramirez,R.Marquez,M.Sabah,L.Noriega,Y.Corona,A.Sepulveda,E.Hernandez,F.Serrano,M.Martinez,G.Espinoza Ahumada","70512,186936,294973,30584,167633,114065,30583,70221,50095,70836,70229,97892,178169,215428,630615,192707,163136,71009",,,MOR,Monarcas Morelia,1,6575,Mexico Liga MX,1019297,,2011/2012,,,17
"C.Saucedo,J.Gandolfi,J.Abrego,J.Santiago Santiago,J.Nunez,F.Arce,R.Enriquez,J. Corona,E. Arevalo,I.Iniguez Gonzalez,J.Yacuzzi,M.Almazan,A.Molina Nunez,M.Gerk,L.Orozco,V.Noe Maya,D. Moreno,A.Zermeno Iniguez","70206,18640,277127,70457,70989,70825,277128,277140,56576,70870,22446,70947,159849,75415,70232,156730,50111,72116",,,TIJ,Tijuana,1,162418,,,Mexico,,2011-11-06 18:00,,,"A.Palacios,M.Palacios,D.Veron,J.Cortes,L.Fuentes,F.Espinoza Barrera,D.Cabrera,K.Quinones,C.Orrantia,M.Bravo,F.Palencia,D.De Buen,V.Patino Bermudez,M.Castro,J.Cacho,E.Herrera,N.Teja,E.Vera","103783,70802,70813,183539,167052,70853,70859,215831,201110,18964,30575,272616,70807,277264,74645,277263,277266,244791",,,PUM,Pumas,1,1946,Mexico Liga MX,1019307,,2011/2012,,,17
"A.Diego,J.Hernandez Gonzalez,O.Martinez,S.Guadarrama,J.Cuevas,C.Bermudez,J.Amione,G.Maldonado,F.Fonseca,J.Orozco,S.Meza,D.Chavez,J. M. Basanta,H.Mier,N.Cardozo,J. Zavala,C.Delgado,W. Ayovi","70851,102975,157424,71034,113963,70577,200951,49672,40975,71526,71530,157399,18521,229821,18807,71551,30472,30332",,,ATL,Atlante,2,1942,,,Mexico,,2011-11-05 23:00,,,"J.Orozco,S.Meza,D.Chavez,J. M. Basanta,H.Mier,N.Cardozo,J. Zavala,C.Delgado,W. Ayovi,C.de la Pena,S.Santana,M.Morales,H.Suazo,J.Corona,M. Munoz,O.Rojas,A.Luna,L.Venegas","71526,71530,157399,18521,229821,18807,71551,30472,30332,292296,70430,71546,50048,210956,30586,178178,277143,143886",,,MON,Monterrey,3,7849,Mexico Liga MX,1019298,,2011/2012,,,17
"E.Pimentel,R. Jimenez,J. Molina,D. Reyes,J.Martinez,D.Montenegro,M.Vuoso,G.Corral,A.Rosinei,D.Marquez,J. D. J. Corona,F.Pinto,J.Dominguez,J. Aquino,N.Araujo,W.Ponce,G.Torrado,I.Castro","277275,292313,112081,201111,111904,35423,3247,164724,19317,116906,70878,70260,70199,172324,207793,49833,30779,70814",,,CFA,CF America,1,6576,,,Mexico,,2011-11-05 23:00,,,"J. D. J. Corona,F.Pinto,J.Dominguez,J. Aquino,N.Araujo,W.Ponce,G.Torrado,I.Castro,C.Gimenez,J. Orozco,E.Villa,E.Perea,J. Pereira,H.Droguett,A.Navarrete,A. Mosquera,O.Rojas,J. C. Valenzuela","70878,70260,70199,172324,207793,49833,30779,70814,74585,150712,18629,26125,278569,70929,70405,70255,2847,70475",,,CRU,Cruz Azul,3,6578,Mexico Liga MX,1019300,,2011/2012,,,17
"L.Bovaglio,J.Leano Del Castillo,R.Sambueza,J.Zamogilny,N.Pinto Martinez,E.Lillingston Garcia,H.Gomez,R.Ruiz De Barbieri,B.Luna,L.Sanchez,A.Garcia Arias,S.Ponce,R.Rico Ramirez,M.Lopez Mondragon,M.Jimenez,A.Bautista,I.Martinez,H.Ruiz","52228,70895,18651,112079,70921,70937,69448,70935,28975,111886,72117,68365,71691,71049,71718,70396,72119,277276",,,MDZ,Mineros de Zacatecas,0,6574,,,Mexico,,2011-11-05 23:00,,,"L.Sanchez,A.Garcia Arias,S.Ponce,R.Rico Ramirez,M.Lopez Mondragon,M.Jimenez,A.Bautista,I.Martinez,H.Ruiz,E.Lopez Navarro,C.Bueno,R.Vazquez,E.Cortes,F.Niell,C.Martinez,M.Alatorre,D.Davino,M.Perez Zuniga","111886,72117,68365,71691,71049,71718,70396,72119,277276,70403,40188,200586,50293,18572,71527,70918,70436,71705",,,QFC,Queretaro FC,3,1943,Mexico Liga MX,1019301,,2011/2012,,,17
"H.Rodriguez,F.Torres,D.Arreola,L.Emanuel Ayala,R.Bocanegra,J.Barraza,F.Santos,G.Rojas,M.Romero,L.Telles,O.Sanchez,S.Hoyos,J.Estrada,O.Mares Martinez,F.Baloy,D.Luduena,R.Salinas Ortiz,J.Rodriguez","200588,71014,141652,74590,210953,163151,113397,71542,121024,257930,30777,18867,70971,71033,19248,71013,72130,30589",,,ATL,Atlas,0,6577,,,Mexico,,2011-11-06 01:00,,,"O.Sanchez,S.Hoyos,J.Estrada,O.Mares Martinez,F.Baloy,D.Luduena,R.Salinas Ortiz,J.Rodriguez,C. Suarez,O. Peralta,C.Quintero,C.Morales,J.Toledo,R.Figueroa,M.Pinto,J.Lacerda,J.Paganoni,S.Villalobos Gutierrez","30777,18867,70971,71033,19248,71013,72130,30589,52495,75625,51334,70984,157472,70979,49804,56841,70490,188348",,,SAN,Santos,3,7857,Mexico Liga MX,1019303,,2011/2012,,,17
"W.Ponce,F.Pinto,G.Torrado,I.Castro,C.Villaluz,E.Perea,C.Gimenez,J. Aquino,H.Gutierrez,J. Orozco,J.Orozco,R.Osorio,L.Perez,J. M. Basanta,W. Ayovi,H.Mier,S.Perez,N.Cardozo","49833,70260,30779,70814,70228,26125,74585,172324,70225,150712,71526,34113,31009,18521,30332,229821,112073,18807",,,CRU,Cruz Azul,2,6578,,,Mexico,,2011-09-17 23:05,,,"J.Orozco,R.Osorio,L.Perez,J. M. Basanta,W. Ayovi,H.Mier,S.Perez,N.Cardozo,C.Delgado,A. De Nigris,H.Suazo,M.Morales,S.Santana,J.Corona,J. D. J. Corona,J.Dominguez,A. Castro,N.Araujo","71526,34113,31009,18521,30332,229821,112073,18807,30472,70239,50048,71546,70430,210956,70878,70199,7059,207793",,,MON,Monterrey,1,7849,Mexico Liga MX,1019210,,2011/2012,,,9
"J.Munoz,R. Chavez,E.Hernandez,M.Cejas,H. Herrera,E.Esqueda,F.Borja,C.Rodriguez,E.Brambila,L.Michel,M.De Luna,H.Reynoso Lopez,P.Araujo,J.Magallon,M. Fabian,M. Ponce,J.Sanchez,J.Mora","5087,70203,106134,18918,274623,106188,39730,75057,75664,70421,111889,70408,70424,70414,111897,200992,213221,248462",,,PAC,Pachuca,2,7848,,,Mexico,,2011-11-06 01:00,,,"L.Michel,M.De Luna,H.Reynoso Lopez,P.Araujo,J.Magallon,M. Fabian,M. Ponce,J.Sanchez,J.Mora,A.Gallardo,E.Torres,J.Nava,X.Baez,V.Hernandez,C.Velazquez,L.Lopez,J.Rojas,S. Castillo","70421,111889,70408,70424,70414,111897,200992,213221,248462,248463,238859,111893,74885,111883,102981,70253,141641,31070",,,CDG,CD Guadalajara,2,7807,Mexico Liga MX,1019302,,2011/2012,,,17
