awayPlayers,awayPlayersId,awayPlayersX,awayPlayersY,awayTeamAcronym,awayTeamFullName,awayTeamGoal,awayTeamId,card,corner,country,cross,date,foulcommit,goal,homePlayers,homePlayersId,homePlayersX,homePlayersY,homeTeamAcronym,homeTeamFullName,homeTeamGoal,homeTeamId,league,matchId,possession,season,shotoff,shoton,stage
"F.Lopez,O.Rojas,A.Rosinei,J. C. Valenzuela,I.Martinez,D.Montenegro,P.Pardo,A.Reyna,S.Cabanas,E.Esqueda,A.Chitiva,G.Cerda,H.Gonzalez,J. Beausejour,J.Sanchez,J.Silva Maya,R.Rojas,O.Sanchez","71694,2847,19317,70475,72119,35423,34112,72126,31105,106188,75058,118534,188123,38254,5234,105616,6918,30777",,,CFA,CF America,1,6576,,,Mexico,,2009-11-15 22:00,,,"O.Sanchez,C.Sanchez,P. Quinonez,J.Garcia Lopez,J.Santiago Santiago,F.Arce,J.Cardenas,D.Luduena,F.Torres,W.Adrian Jimenez,C.Quintero,C.Ochoa,J.Estrada,J.Mosqueda,R.Figueroa,O.Mares Martinez,J.Rodriguez,G. Ochoa","30777,70470,52450,69993,70457,70825,72148,71013,71014,71010,51334,71549,70971,67978,70979,71033,30589,31047",,,SAN,Santos,1,7857,Mexico Liga MX,668058,,2009/2010,,,17
"J.Gonzalez Tahuilan,J. Molina,L.Emanuel Ayala,L.Lobos,D.Toledo,G.Fernandez,I.Batista,M.Viniegra Garcia,A.Pulido,F.Fonseca,M.Calero,L.Lopez,M.Perez,J.Rojas,J.Munoz,J.Correa,C.Rodriguez,J.Torres","72121,112081,74590,33721,70858,18646,111899,70237,112092,40975,70245,70253,70256,141641,5087,75543,75057,95292",,,TIG,Tigres,1,8561,,,Mexico,,2009-11-14 23:00,,,"M.Calero,L.Lopez,M.Perez,J.Rojas,J.Munoz,J.Correa,C.Rodriguez,J.Torres,D.Manso,J.Cacho,C.Gimenez,U.Mendivil Armenta,E.Brambila,G.Caballero,C.Saucedo,A.Villalobos Munoz,E. Castillo,J.Castro","70245,70253,70256,141641,5087,75543,75057,95292,18893,74645,74585,70010,75664,28977,70206,71717,70976,31048",,,PAC,Pachuca,1,7848,Mexico Liga MX,668054,,2009/2010,,,17
"J.Orozco,F.Baloy,D.Davino,G.Galindo Martinez,J. M. Basanta,L.Perez,O.Martinez,J. Zavala,W. Ayovi,A. De Nigris,H.Suazo,D.Ordaz Alvarez,D.Martinez,S.Meza,S.Santana,A.Carreno,W.Paredes,O.Ortiz Uribe","71526,19248,70436,71712,18521,31009,157424,71551,30332,70239,50048,71536,70401,71530,70430,157426,71544,69988",,,MON,Monterrey,0,7849,,,Mexico,,2009-11-08 22:30,,,"G. Ochoa,A. Mosquera,O.Rojas,A.Rosinei,J. C. Valenzuela,J. Beausejour,I.Martinez,D.Montenegro,P.Pardo,S.Cabanas,E.Esqueda,A.Chitiva,F.Lopez,G.Cerda,H.Gonzalez,J.Silva Maya,A.Reyna,D.Marquez","31047,70255,2847,19317,70475,38254,72119,35423,34112,31105,106188,75058,71694,118534,188123,105616,72126,116906",,,CFA,CF America,1,6576,Mexico Liga MX,668049,,2009/2010,,,16
"D.Bottinelli,L.Robles,E.Pacheco,D.Chavez,H.Alferez Popoca,D.Osorno Calvillo,M.Zepeda,S.Villalobos Gutierrez,R.Jimenez,O.Perez,J.Chavez,J.Gandolfi,O.Flores,Y.Corona,Danilinho,N.Cardozo,A.Arguello,C.Valdez","22335,70453,112313,157399,70486,70494,178175,188348,70461,30587,70226,18640,70472,178169,80559,18807,70413,70485",,,ATL,Atlas,3,6577,,,Mexico,,2009-11-14 23:00,,,"O.Perez,J.Chavez,J.Gandolfi,O.Flores,Y.Corona,Danilinho,N.Cardozo,A.Arguello,C.Valdez,O. Peralta,E.Orozco,C. Alvarez,G.Flores Zuniga,M.Barbosa,I.Fuentes,N.Vidrio,H. Ayala Castro,J. Torres Nilo","30587,70226,18640,70472,178169,80559,18807,70413,70485,75625,166115,49961,71540,38467,69992,114058,70455,70468",,,JAG,Jaguares Chiapas,2,6621,Mexico Liga MX,668051,,2009/2010,,,17
"J.Cruzalta Cruz,I.Lopez,M.Romagnoli,N.Calderon,C.Esquivel,R.Nava Lopez,A. Matias,D.De la Torre,M.Vladimir,M.Zarate del Rio,J.Villalpando,M.Lopez Mondragon,A.Acosta,J.Velazquez,R.Juarez,L.Noriega,C.Ruiz,C.Rosas Sergio","70958,30581,30513,141653,71030,157898,31206,62341,40150,163133,111902,71049,50653,101438,111875,97892,69705,103143",,,TOL,Toluca,2,6618,,,Mexico,,2009-11-14 23:00,,,"J.Villalpando,M.Lopez Mondragon,A.Acosta,J.Velazquez,R.Juarez,L.Noriega,C.Ruiz,C.Rosas Sergio,F.Ayala Armendariz,N.Vigneri,J.Borgetti,G.Mora Olayo,I.Rey Ortega,J.Garcia,A. Talavera,D.Novaretti,M.de la Torre,E.Duenas","111902,71049,50653,101438,111875,97892,69705,103143,70001,56588,35609,70006,183486,163141,70399,184132,70942,70951",,,PUE,Puebla,0,7847,Mexico Liga MX,668056,,2009/2010,,,17
"R. Chavez,G.Torrado,C.Villaluz,H.Gutierrez,J.Lozano,J. Orozco,E.Villa,E.Hernandez,M.Ortiz,E.Lugo,L.Michel,O.Esparza Morales,H.Reynoso Lopez,A.Galindo,J.Magallon,R.Morales,E.Mejia,A.Medina","70203,30779,70228,70225,30583,150712,18629,49862,112093,70221,70421,70423,70408,30572,70414,30778,70402,30573",,,CRU,Cruz Azul,1,6578,,,Mexico,,2009-11-15 01:00,,,"L.Michel,O.Esparza Morales,H.Reynoso Lopez,A.Galindo,J.Magallon,R.Morales,E.Mejia,A.Medina,G.Pineda,O.Bravo,J. Hernandez,E.Solis,O.Arellano,S.Ponce,J. D. J. Corona,F.Pinto,J.Dominguez,M.Casados","70421,70423,70408,30572,70414,30778,70402,30573,31008,31010,70409,111891,73679,68365,70878,70260,70199,28983",,,CDG,CD Guadalajara,0,7807,Mexico Liga MX,668053,,2009/2010,,,17
"M.Romero,J.Hernandez Gonzalez,Wilson Mathias,H.Droguett,E.Hernandez,M.Sabah,L.Rey,L.Sandoval Oliva,M.Cabrera,J.Orozco,F.Baloy,D.Davino,J. M. Basanta,J. Zavala,J. C. Medina,L.Perez,W. Ayovi,W.Paredes","18393,102975,70818,70929,106134,70229,6857,71050,70259,71526,19248,70436,18521,71551,70477,31009,30332,71544",,,MOR,Monarcas Morelia,1,6575,,,Mexico,,2009-11-14 23:00,,,"J.Orozco,F.Baloy,D.Davino,J. M. Basanta,J. Zavala,J. C. Medina,L.Perez,W. Ayovi,W.Paredes,A. De Nigris,S.Santana,A.Carreno,H.Suazo,J.Arellano,M. Munoz,E. P. Herrera,F.Salazar Lomeli,A. Aldrete","71526,19248,70436,18521,71551,70477,31009,30332,71544,70239,70430,157426,50048,30781,30586,186936,70258,70827",,,MON,Monterrey,1,7849,Mexico Liga MX,668050,,2009/2010,,,17
"O.Perez,J.Chavez,J.Gandolfi,O.Flores,O.Razo,Danilinho,A.Miguel Zamora,O. Peralta,C.Valdez,A.Bautista,N.Cardozo,F.Mendoza,C.Balcazar Tamayo,G.Flores Zuniga,Y.Corona,H.Sanchez Guerrero,E.Hernandez,E.Orozco","30587,70226,18640,70472,103204,80559,70536,75625,70485,70396,18807,69656,70478,71540,178169,30579,630615,166115",,,JAG,Jaguares Chiapas,2,6621,,,Mexico,,2009-07-25 23:00,,,"Y.Gutierrez,J.Dominguez,A. Castro,M.Casados,J.Lozano,R. Nunez,C.Riveros,R. Chavez,C.Villaluz,M.Ortiz,E.Villa,L.Landin,P.Zeballos,J.Huiqui,J.Valdivia,A.Vela,E.Andrade,E.Lugo","70197,70199,7059,28983,30583,69701,31104,70203,70228,112093,18629,74647,69193,30584,70196,70011,70220,70221",,,CRU,Cruz Azul,0,6578,Mexico Liga MX,667909,,2009/2010,,,1
"M.Calero,M.Perez,J.Rojas,C.Rodriguez,P. Aguilar,G.Torres,J.Correa,D.Alvarez,C.Gimenez,J.Cacho,D.Manso,U.Mendivil Armenta,G.Caballero,E.Benitez,L. Montes,R.Martinez,R.Cota,M.Rodriguez Cervantes","70245,70256,141641,75057,68585,70484,75543,73680,74585,74645,18893,70010,28977,69167,75059,94995,111873,70441",,,PAC,Pachuca,3,7848,,,Mexico,,2009-07-25 02:00,,,"M.Rodriguez Cervantes,M.Alatorre,D.Jimenez,J.Leano Del Castillo,C.Morales,O.Alanis,R.Medina,J.Zamogilny,E.Rangel Especiano,F.Bareiro,B.Marioni,D.Alcantar Garcia,E.Lomeli Martinez,F.Villasenor,J.Sanchez Ramos,R.Ruiz De Barbieri,M.Cejas,S.Ochoa","70441,70918,70896,70895,70984,171205,70928,112079,71022,69164,2997,70521,70934,71038,71689,70935,18918,70945",,,MDZ,Mineros de Zacatecas,2,6574,Mexico Liga MX,667908,,2009/2010,,,1
"J.Villalpando,O.Rincon,A.Ortiz Arellano,J.Velazquez,R.Juarez,G.Mora Olayo,J.Reyes Chavez,P.Fresnedo,F.Ayala Armendariz,C.Ruiz,A.Olivera,C.Infante,C.Rosas Sergio,N.Martinez,S.Perez,L.Munoz Medina,I.Sanchez Macip,A.Alvarez Olivares","111902,157471,72127,101438,111875,70006,71018,112086,70001,69705,33587,70425,103143,129513,112073,136520,112096,71696",,,PUE,Puebla,1,7847,,,Mexico,,2009-07-26 01:00,,,"C.Saucedo,E. Castillo,F.Ortiz,J.Saavedra,J.Gonzalez Tahuilan,J. Molina,L.Emanuel Ayala,L.Lobos,D.Toledo,I.Batista,F.Fonseca,J.Pablo Garcia,M.Ruiz,A.Sancho Sanchez,M.Viniegra Garcia,A.Pulido,J.De Leon,E.Palos","70206,70976,18524,70234,72121,112081,74590,33721,70858,111899,40975,70240,70218,70848,70237,112092,70242,70207",,,TIG,Tigres,1,8561,Mexico Liga MX,668059,,2009/2010,,,1
