awayPlayers,awayPlayersId,awayPlayersX,awayPlayersY,awayTeamAcronym,awayTeamFullName,awayTeamGoal,awayTeamId,card,corner,country,cross,date,foulcommit,goal,homePlayers,homePlayersId,homePlayersX,homePlayersY,homeTeamAcronym,homeTeamFullName,homeTeamGoal,homeTeamId,league,matchId,possession,season,shotoff,shoton,stage
"A.Marchesin,J.Abella,C.Ibanez,N.Araujo,C.Roberto Izquierdoz,J. Molina,D.Gonzalez,B.Rabello,N.Calderon,A.Renteria,Djaniny,K.Alvarez,L. Mendoza,A. Aldrete,J. A. Escoboza,J. Orozco,J.Vela-Alvizu,U.Rivas","164020,466755,159404,207793,210726,112081,114490,206679,141653,317122,281338,244069,195583,70827,277141,150712,242197,533769",,,SAN,Santos,3,7857,,,Mexico,,2015-11-22 23:00,,,"J.Rodriguez,J. Pereira,C.Salcedo,R.Lopez,M. Ponce,C. Salcido,C.Fierro,C.Cisneros,M.Perez Ortiz,M. Fabian,O.Bravo,E. W. Hernandez,R.Vazquez,I.Castro,J.Ramirez,A.Zaldivar,J.Basulto,R.Cota","324432,278569,431992,432851,200992,34479,281870,429345,399487,111897,31010,141633,200586,70814,524850,444351,421625,111873",,,CDG,CD Guadalajara,0,7807,Mexico Liga MX,1984393,,2015/2016,,,17
"L.Michel,N.Vidrio,J.Chavez,J.Abrego,F.Arce,S. Castillo,C.Pinto,W. Ayovi,C. Suarez,R.Nurse,G.Hernandez,H.Mancilla,M.Bravo,M.Caicedo,A.Frausto,D.Mejia,G.Rojas,D.Stringel","70421,114058,70226,277127,70825,31070,178904,30332,52495,147962,343939,74591,18964,118370,72115,302535,71542,135298",,,DOR,Dorados,0,2034,,,Mexico,,2015-11-22 02:06,,,"W.Yarbrough,E. Velarde Calvillo,G.Burdisso,F.Navarro,J.Gonzalez,H.Burbano,E.Hernandez,L. Montes,J. Vazquez,C. A. Pena,M.Boselli,M.Bueno,L.Lopez,M.Ibarra,C.Martinez,J.Magallon,A.Rocha,J.Gonzalez","342699,70809,166510,115731,121042,261543,106134,75059,342776,212476,18859,292268,534735,590461,71527,70414,418259,444295",,,LEO,Leon,3,1841,Mexico Liga MX,1984389,,2015/2016,,,17
"G.Allison,F.Pinto,J.Dominguez,F.Santos,O.Mendoza,G.Torrado,A.Pedroza,F.Belluschi,J. Rojas,A.Rojas,J.Benitez,L.Silva,C.Gimenez,R.Baca,R.Ruiz Toledo,M.Vuoso,A.Pelaez,J.Garcia","207791,70260,70199,19505,559999,30779,163140,36154,114065,146796,206856,132900,74585,274099,277145,3247,618777,531757",,,CRU,Cruz Azul,0,6578,,,Mexico,,2015-11-22 01:00,,,"N.Guzman,I.Jimenez,Juninho,H. Ayala Castro,J.Rivas,E. Arevalo,G.Pizarro,J. Aquino,J.Damm,R.Sobis,A.Gignac,J.Guerron,D.Alvarez,A.Briseno,M.Viniegra Garcia,J.Torres,E.Palos,J.Duenas","193993,141650,19287,70455,70219,56576,188116,172324,311701,41020,38098,52490,73680,291556,70237,95292,70207,163152",,,TIG,Tigres,0,8561,Mexico Liga MX,1984388,,2015/2016,,,17
"A.Palacios,J.Van Rankin,G.Alcoba,D.Veron,L.Fuentes,J.Cortes,F. Martinez,V.Sosa,M.Britos,A. Castro,E.Herrera,D.Cabrera,D.Lopez,D.Luduena,M.Alatorre,Y.Gutierrez,L.Quintana,G.Rodriguez","103783,310528,56830,70813,167052,183539,237608,41552,166119,7059,277263,70859,41730,71013,70918,70197,446003,684990",,,PUM,Pumas,1,1946,,,Mexico,,2015-11-21 23:05,,,"M. Munoz,E.Pimentel,P.Aguilar,O.Mares Martinez,P. Aguilar,O.Martinez,M. Arroyo,R.Sambueza,J.Guerrero,D.Benedetto,C.Quintero,H.Gonzalez,J.Guemez,A.Marin,A.Andrade,V.Alvarado,O. Peralta,F.Rivera","30586,277275,106128,71033,68585,157424,52559,18651,72147,163766,51334,188123,471119,303936,185637,415706,75625,571773",,,CFA,CF America,1,6576,Mexico Liga MX,1984387,,2015/2016,,,17
"C.Campestrini,R.Herrera,C.Gutierrez,L.Robles,O.Rojas,P.Araujo,D.Toledo,A.Acosta,F.Torres,C.Bermudez,L.Rey,F.Villasenor,M.De Luna,I.Diaz,A.Tamay,R.Arias,R.Juarez,E.Rescaldani","147562,169585,163150,70453,2847,70424,70858,199355,71014,70577,6857,71038,111889,167700,516944,251543,111875,215768",,,PUE,Puebla,0,7847,,,Mexico,,2015-11-21 01:30,,,"Tiago Volpi,G.Corral,M.Martinez,D.Escalante,J.Bornstein,O.Pineda,L.Noriega,M.Osuna,Y.Candelo,J.Gomez,E.Villa,J.Forlin,A. Matias,William da Silva,A.Sepulveda,E.Hernandez,E.Benitez,Wilson Mathias","409017,164724,163136,207926,49549,559986,97892,420527,282153,402810,18629,121716,31206,128362,215428,630615,69167,70818",,,QFC,Queretaro FC,0,1943,Mexico Liga MX,1984385,,2015/2016,,,17
"J.Rodriguez,E. W. Hernandez,C.Salcedo,J.Sanchez,J.Basulto,C. Salcido,J.Enriquez,R.Lopez,M. Ponce,O.Bravo,M. Fabian,C.Fierro,A.Reyna,I. Brizuela,R.Vazquez,I.Castro,O.Villanueva,R.Cota","324432,141633,431992,213221,421625,34479,195536,432851,200992,31010,111897,281870,72126,178205,200586,70814,350568,111873",,,CDG,CD Guadalajara,0,7807,,,Mexico,,2015-07-25 01:30,,,"E.Hernandez,D.Chavez,H.Cervantes,L.Lopez,J.Paganoni,G.Penalba,E.Garcia,E.Andrade,F. Meneses,J.Albin,J.Furch,L.Martinez,D.Villalva,V.Perales,C.de la Pena,A.Berber Castanon,O.Vera,S.Garcia","70204,157399,71700,70253,70490,39233,464759,70220,49661,37469,211074,100938,164723,395288,292296,71548,112314,71040",,,VER,Veracruz,2,6382,Mexico Liga MX,1984241,,2015/2016,,,1
"E.Hernandez,H.Cervantes,E.Garcia,L.Lopez,R.Noya,J.Paganoni,G.Penalba,D.Villalva,F. Meneses,J.Albin,J.Furch,L.Martinez,A.Miguel Zamora,E.Andrade,A.Zurdo,H.Cid,S.Garcia,D.Chavez","70204,71700,464759,70253,611545,70490,39233,164723,49661,37469,211074,100938,70536,70220,281748,464725,71040,601453",,,VER,Veracruz,2,6382,,,Mexico,,2015-11-22 02:35,,,"C.Rodriguez,F.Erpen,J.Huiqui,E.Aguirre,C.Morales,J.Rodriguez,M.Cejas,R. Millar,I.Gonzalez,O.Fernandez,M.Sansores,E. P. Herrera,M.Torsiglieri,Y.Mena Palacios,C.Saucedo,H.Ruiz,A.Zamorano,J.Cuero Castro","182467,69724,30584,564634,70984,30589,18918,49996,517450,517483,197077,186936,157869,205957,70206,277276,254610,207652",,,MOR,Monarcas Morelia,1,6575,Mexico Liga MX,1984390,,2015/2016,,,17
"O.Perez,A. Mosquera,O.Esparza Morales,H.Olvera,M. A. Herrera,V.Guzman,R.Botta,F.Madrigal,H.Lozano,A.Nahuelpan,J.Martinez,H.Rodriguez,J.Urretaviscaya,A.Blanco,D.Cvitanich,C. Penilla,O.Rodriguez,M.Rojas","30587,70255,70423,519438,360278,643749,168390,614519,521210,149584,111904,200588,114680,111877,18734,207784,643753,666802",,,PAC,Pachuca,3,7848,,,Mexico,,2015-08-12 03:00,,,"J.Orozco,J. S. Medina Ramirez,R.Osorio,E. Castillo,H.Mier,W. Gargano,E.Cardona,P.Barrera,N.Cardozo,R.Funes Mori,D. Pabon,S.Meza,A. De Nigris,C.Ramirez,J. Zavala,J.Dios Ibarra,L.Perez,C.Montes","71526,206767,34113,70976,229821,56585,177507,70865,18807,190511,158263,71530,70239,303949,71551,207790,31009,664644",,,MON,Monterrey,4,7849,Mexico Liga MX,1984268,,2015/2016,,,4
"L.Michel,N.Vidrio,J.Lacerda,J.Chavez,D.Arreola,M.Romero,F.Arce,S. Castillo,W. Ayovi,H.Mancilla,R.Nurse,J.Abrego,C. Suarez,M.Bravo,M.Caicedo,A.Frausto,D.Mejia,D.Stringel","70421,114058,56841,70226,141652,18393,70825,31070,30332,74591,147962,277127,52495,18964,118370,72115,302535,135298",,,DOR,Dorados,0,2034,,,Mexico,,2015-08-12 02:30,,,"M. Munoz,P.Goltz,M.Samudio,P.Aguilar,P. Aguilar,A.Andrade,O.Martinez,R.Sambueza,J.Guerrero,D.Benedetto,O. Peralta,H.Gonzalez,M. Arroyo,O.Mares Martinez,V.Alvarado,M.Zuniga,C.Quintero,D.Vazquez","30586,103816,96817,106128,68585,185637,157424,18651,72147,163766,75625,188123,52559,71033,415706,393594,51334,559974",,,CFA,CF America,4,6576,Mexico Liga MX,1984269,,2015/2016,,,4
"J.Rodriguez,C. Salcido,E. W. Hernandez,C.Salcedo,H.Marin,R.Lopez,M. Ponce,I.Castro,M.Perez Ortiz,C.Fierro,O.Bravo,J.Enriquez,R.Vazquez,J.Ramirez,C.Cisneros,O.Villanueva,R.Cota,J.Lopez","324432,34479,141633,431992,463324,432851,200992,70814,399487,281870,31010,195536,200586,524850,429345,350568,111873,430767",,,CDG,CD Guadalajara,2,7807,,,Mexico,,2015-08-10 01:00,,,"N.Guzman,I.Jimenez,Juninho,J. Torres Nilo,J.Rivas,G.Pizarro,J. Aquino,J.Damm,J.Duenas,R.Sobis,A.Gignac,E. Arevalo,J.Guerron,D.Alvarez,A.Briseno,J.Torres,E.Palos,E.Lugo","193993,141650,19287,70468,70219,188116,172324,311701,163152,41020,38098,56576,52490,73680,291556,95292,70207,70221",,,TIG,Tigres,2,8561,Mexico Liga MX,1984262,,2015/2016,,,3
