awayPlayers,awayPlayersId,awayPlayersX,awayPlayersY,awayTeamAcronym,awayTeamFullName,awayTeamGoal,awayTeamId,card,corner,country,cross,date,foulcommit,goal,homePlayers,homePlayersId,homePlayersX,homePlayersY,homeTeamAcronym,homeTeamFullName,homeTeamGoal,homeTeamId,league,matchId,possession,season,shotoff,shoton,stage
"A.Rios Martinez,Wilson Mathias,C.Rodriguez,L.Silva,A. Matias,C.Esquivel,L.Tejada,E.Benitez,H.Quintero,E.Brambila,O.Perez,F.Araujo,A.Cadavid,W.Paredes,J.Castro,Everton,S.Fernandez,J.Correa","163132,70818,75057,132900,31206,71030,70341,69167,207930,75664,30587,121652,245167,71544,31048,171229,230950,75543",,,TOL,Toluca,2,6618,,,Mexico,,2012-11-11 03:00,,,"O.Perez,F.Araujo,A.Cadavid,W.Paredes,J.Castro,Everton,S.Fernandez,J.Correa,S.Trellez Viveros,E.Cerda,L. Mendoza,G.Rojas,E.Lopez Navarro,E.Esparza,A. Talavera,D.Novaretti,M.Cabrera,E.Duenas","30587,121652,245167,71544,31048,171229,230950,75543,251360,70241,195583,71542,70403,407916,70399,184132,70259,70951",,,SAN,Atletico de San Luis,0,6358,Mexico Liga MX,1234636,,2012/2013,,,17
"D. Reyes,P. Aguilar,D.Montenegro,A. Aldrete,J. C. Medina,R. Jimenez,C.Benitez,R.Sambueza,J.Cardenas,C.Bermudez,E.Palos,I.Jimenez,Juninho,H. Ayala Castro,J. Torres Nilo,E.Hernandez,D.Alvarez,L.Lobos","201111,68585,35423,70827,70477,292313,31073,18651,72148,70577,70207,141650,19287,70455,70468,106134,73680,33721",,,CFA,CF America,1,6576,,,Mexico,,2012-11-11 01:00,,,"E.Palos,I.Jimenez,Juninho,H. Ayala Castro,J. Torres Nilo,E.Hernandez,D.Alvarez,L.Lobos,J.Duenas,C. Salcido,L.Garcia,A. Pulido,J.Rivas,A.Acosta,M. Munoz,A. Mosquera,J. Molina,J. C. Valenzuela","70207,141650,19287,70455,70468,106134,73680,33721,163152,34479,24852,196884,70219,199355,30586,70255,112081,70475",,,TIG,Tigres,1,8561,Mexico Liga MX,1234634,,2012/2013,,,17
"L.Ricardo Esqueda Ornelas,G.Espinoza Ahumada,J.Rodriguez,A.Zamorano,E.Andrade,J.Cordoba,L.Rey,L.Lorona,P.Hernandez,L.Bedolla,R.Cota,L.Lopez,N.Vidrio,O.Rojas,P.da Silva,H. Herrera,S. Castillo,J.Hernandez","94801,71009,121122,254610,70220,291425,6857,396182,394908,353783,111873,70253,114058,2847,31103,274623,31070,159848",,,JAG,Jaguares Chiapas,1,6621,,,Mexico,,2012-11-11 01:00,,,"R.Cota,L.Lopez,N.Vidrio,O.Rojas,P.da Silva,H. Herrera,S. Castillo,J.Hernandez,N.Castillo,R.Tamudo,R. Pizarro,M.Velazquez,R.Torres,E.Garcia,E.Hernandez,M.Martinez,L.Jimenez Romero,G.Corral","111873,70253,114058,2847,31103,274623,31070,159848,39711,32764,390785,350928,396071,407844,630615,163136,195192,164724",,,PAC,Pachuca,2,7848,Mexico Liga MX,1234635,,2012/2013,,,17
"A.Nieto,J.Garcia Fernandez,M.Romagnoli,J.Chiapas,J.Lozano,E.Villa,M.Bravo,L.Garcia,F.Espinoza Barrera,C.Orrantia,M.Pinto,F.Erpen,G.Torres,H.Rodriguez,L.Cufre,L.Emanuel Ayala,S.Ponce,J.Vigon","211102,178176,30513,70816,30583,18629,18964,30832,70853,201110,49804,69724,70484,200588,38729,74590,68365,350153",,,PUM,Pumas,1,1946,,,Mexico,,2012-07-22 03:00,,,"M.Pinto,F.Erpen,G.Torres,H.Rodriguez,L.Cufre,L.Emanuel Ayala,S.Ponce,J.Vigon,H.Mancilla,S.Santana,L.Sandoval Oliva,F.Santos,L.Bolanos,M.Vuoso,A.Palacios,E. Velarde Calvillo,M.Palacios,D.Veron","49804,69724,70484,200588,38729,74590,68365,350153,74591,70430,71050,113397,52473,3247,103783,70809,70802,70813",,,ATL,Atlas,1,6577,Mexico Liga MX,1234492,,2012/2013,,,1
"J.Nunez,C.Pellerano,L.Augusto,F.Arce,D.Riascos,R.Ruiz Toledo,A.Moreno,J.Abrego,J.Hernandez Gonzalez,R.Nava Lopez,L.Michel,H.Reynoso Lopez,O.Esparza Morales,M. Ponce,V.Perales,P.Araujo,L.Perez,M. Fabian","70989,36099,70826,70825,74224,277145,59894,277127,102975,157898,70421,70408,70423,200992,395288,70424,31009,111897",,,TIJ,Tijuana,2,162418,,,Mexico,,2012-11-11 23:00,,,"L.Michel,H.Reynoso Lopez,O.Esparza Morales,M. Ponce,V.Perales,P.Araujo,L.Perez,M. Fabian,J.Enriquez,J.Sanchez,O.Arellano,L.Morales,C.Fierro,G.Hernandez,C.Saucedo,E. Castillo,J.Gandolfi,P.Aguilar","70421,70408,70423,200992,395288,70424,31009,111897,195536,213221,73679,371617,281870,343939,70206,70976,18640,106128",,,CDG,CD Guadalajara,0,7807,Mexico Liga MX,1234639,,2012/2013,,,17
"L.Cufre,H.Rodriguez,R.Bocanegra,L.Sandoval Oliva,F.Santos,H.Mancilla,A.Gonzalez,C.Gutierrez,J.Barraza,G.Martin,C.Martinez,E. W. Hernandez,J.Magallon,L.Delgado,J.Gonzalez,M.Britos,L. Montes,E.Loboa","38729,200588,210953,71050,113397,74591,292903,163150,163151,199849,71527,141633,70414,342790,121042,166119,75059,50056",,,ATL,Atlas,1,6577,,,Mexico,,2012-11-10 03:35,,,"C.Martinez,E. W. Hernandez,J.Magallon,L.Delgado,J.Gonzalez,M.Britos,L. Montes,E.Loboa,J. Vazquez,C. A. Pena,N.Maz,J.Pineda,L.Nieves,E.Santibanez Noe,M.Pinto,F.Erpen,G.Torres,L.Robles","71527,141633,70414,342790,121042,166119,75059,50056,342776,212476,56749,255872,344015,94799,49804,69724,70484,70453",,,LEO,Leon,3,1841,Mexico Liga MX,1234631,,2012/2013,,,17
"E.Benitez,C.Rodriguez,L.Silva,A. Matias,C.Esquivel,L.Tejada,F.Gamboa Gomez,J.Cacho,E.Brambila,J.Orozco,D.Chavez,J. M. Basanta,C.Delgado,H.Mier,M.Morales,W. Ayovi,N.Cardozo,S.Perez","69167,75057,132900,31206,71030,70341,70967,74645,75664,71526,157399,18521,30472,229821,71546,30332,18807,112073",,,TOL,Toluca,2,6618,,,Mexico,,2012-11-08 02:30,,,"J.Orozco,D.Chavez,J. M. Basanta,C.Delgado,H.Mier,M.Morales,W. Ayovi,N.Cardozo,S.Perez,H.Suazo,A. De Nigris,A.Reyna,A.Carreno,A. Talavera,D.Novaretti,Wilson Mathias,E.Duenas,A.Rios Martinez","71526,157399,18521,30472,229821,71546,30332,18807,112073,50048,70239,72126,157426,70399,184132,70818,70951,163132",,,MON,Monterrey,2,7849,Mexico Liga MX,1234598,,2012/2013,,,13
"W. Ayovi,J. Zavala,N.Cardozo,C.Delgado,H.Suazo,A. De Nigris,A.Reyna,E.Solis,A.Carreno,C.de la Pena,F.Vilar,E. P. Herrera,M.Romero,C.Morales,R. Salinas,J.Huiqui,U.Alvarez,J. Montero","30332,71551,18807,30472,50048,70239,72126,111891,157426,292296,70512,186936,18393,70984,149043,30584,184055,52563",,,MON,Monterrey,0,7849,,,Mexico,,2012-07-28 01:30,,,"F.Vilar,E. P. Herrera,M.Romero,C.Morales,R. Salinas,J.Huiqui,U.Alvarez,J. Montero,C.Valdez,A. L. Ramirez,M.Sabah,C.Ochoa,H.Ruiz,F.Torres,J.Orozco,S.Meza,M.Morales,J. M. Basanta","70512,186936,18393,70984,149043,30584,184055,52563,70485,50095,70229,71549,277276,71014,71526,71530,71546,18521",,,MOR,Monarcas Morelia,1,6575,Mexico Liga MX,1234497,,2012/2013,,,2
"A.Coronado,O.Villanueva,L.Perez,G.Hernandez,R.Marquez,O.Arellano,C.Fierro,J.Sanchez,X.Baez,E.Torres,A. Talavera,D.Novaretti,Wilson Mathias,C.Rodriguez,M.Cabrera,E.Duenas,A.Rios Martinez,L.Silva","197535,350568,31009,343939,70836,73679,281870,213221,74885,238859,70399,184132,70818,75057,70259,70951,163132,132900",,,CDG,CD Guadalajara,1,7807,,,Mexico,,2012-07-22 18:00,,,"A. Talavera,D.Novaretti,Wilson Mathias,C.Rodriguez,M.Cabrera,E.Duenas,A.Rios Martinez,L.Silva,A. Matias,J.Cacho,C.Esquivel,E.Benitez,F.Gamboa Gomez,I. Brizuela,L.Michel,M.De Luna,H.Reynoso Lopez,P.Araujo","70399,184132,70818,75057,70259,70951,163132,132900,31206,74645,71030,69167,70967,178205,70421,111889,70408,70424",,,TOL,Toluca,2,6618,Mexico Liga MX,1234493,,2012/2013,,,1
"E.Pimentel,J. Molina,D.Montenegro,J.Cardenas,J. C. Medina,C.Benitez,A.Rosinei,C.Bermudez,M. Layun,J.Orozco,S.Meza,M.Morales,J. M. Basanta,W. Ayovi,J. Zavala,N.Cardozo,C.Delgado,H.Suazo","277275,112081,35423,72148,70477,31073,19317,70577,71724,71526,71530,71546,18521,30332,71551,18807,30472,50048",,,CFA,CF America,0,6576,,,Mexico,,2012-07-22 01:00,,,"J.Orozco,S.Meza,M.Morales,J. M. Basanta,W. Ayovi,J. Zavala,N.Cardozo,C.Delgado,H.Suazo,A. De Nigris,A.Reyna,A.Carreno,C.de la Pena,H.Gonzalez,A. Mosquera,E.Juarez,A. Aldrete,P. Aguilar","71526,71530,71546,18521,30332,71551,18807,30472,50048,70239,72126,157426,292296,188123,70255,111885,70827,68585",,,MON,Monterrey,0,7849,Mexico Liga MX,1234491,,2012/2013,,,1
