awayPlayers,awayPlayersId,awayPlayersX,awayPlayersY,awayTeamAcronym,awayTeamFullName,awayTeamGoal,awayTeamId,card,corner,country,cross,date,foulcommit,goal,homePlayers,homePlayersId,homePlayersX,homePlayersY,homeTeamAcronym,homeTeamFullName,homeTeamGoal,homeTeamId,league,matchId,possession,season,shotoff,shoton,stage
"A.Marchesin,E.Alvarez,M.Samudio,B.Valdez,P. Aguilar,G.Rodriguez,William da Silva,C.Dominguez,C.Quintero,S.Romero,A.Diaz,C.Vargas,P.Arce,C.Orrantia,R.Marin,M.Perez,O.Jimenez,D.Lainez","164020,783505,96817,315632,68585,586768,128362,301391,51334,213106,601393,832692,275571,201110,693676,311946,463774,828972",,,CFA,CF America,0,6576,,,Mexico,,2017-08-27 02:00,,,"S.Sosa,C.Rodriguez,C.Guzman,S.Vegas,G. Achilier,D.Valdes,R.Vilchis,R. Millar,M.Osuna,G.Lezcano,R.Ruidiaz,E. P. Herrera,J.Rodriguez,J.Zarate,A.Sepulveda,E.Loeschbor,J.Urbina,J.Cuero Castro","56648,75057,294973,478454,52483,390758,201039,49996,420527,280137,200318,186936,30589,199913,215428,528351,112072,207652",,,MOR,Monarcas Morelia,2,6575,Mexico Liga MX,2522628,,2017/2018,,,7
"H.Gonzalez,E. Castillo,C.Montes,J. M. Basanta,J. S. Medina Ramirez,C.Sanchez,C.Ortiz,J.Gonzalez,R.Funes Mori,D. Pabon,A.Hurtado,N.Sanchez,A.Gonzalez,J. Molina,E.Resendez,J.Benitez,M.Bueno,A.Lopez","188123,70976,664644,18521,206767,188589,159465,862783,190511,158263,206227,113677,292903,112081,643752,206856,292268,788906",,,MON,Monterrey,1,7849,,,Mexico,,2017-08-26 23:05,,,"J. D. J. Corona,O.Mendoza,E. Andia,A. Aldrete,J.Silva,Gato Silva,G.Penalba,A. Mena,E.Mendez,R.Baca,F.Mora,M.Cauteruccio,C.Gimenez,G.Allison,M.Rodriguez,G.Flores Zuniga,K.Montano,V.Zuniga","70878,559999,193930,70827,494184,50027,39233,118374,477493,274099,244571,115871,74585,207791,264744,71540,719766,659560",,,CRU,Cruz Azul,1,6578,Mexico Liga MX,2522630,,2017/2018,,,7
"Tiago Volpi,M.Martinez,J.Bornstein,H.Mier,J.Gomez,J.Guemez,A.Arellano,L.Noriega,Everaldo Stum,P.Yrizar,E.Benitez,Camilo,L.Ricardo Esqueda Ornelas,M.Jimenez,A.Perez,J.Cortizo,E.Villa,G.Alcala","409017,163136,49549,229821,402810,471119,825949,97892,295103,731474,69167,256605,94801,71718,521252,737290,18629,610744",,,QFC,Queretaro FC,0,1943,,,Mexico,,2017-08-27 03:06,,,"R.Cota,C. Salcido,J. Pereira,E. W. Hernandez,J.Sanchez,O.Pineda,J.Lopez,R. Pizarro,J. Vazquez,M.Perez Ortiz,A.Zaldivar,O.Alanis,I. Brizuela,C.Fierro,M.Jimenez,J.Godinez,F.Beltran,J.Macias","111873,34479,278569,141633,213221,559986,430767,390785,342776,399487,444351,171205,178205,281870,251275,844919,861896,861901",,,CDG,CD Guadalajara,0,7807,Mexico Liga MX,2522634,,2017/2018,,,7
"M. Munoz,B.Angulo,P.Araujo,O.Rojas,E.Pimentel,A.Zamora,J. A. Escoboza,H.Rodriguez,F.Torres,F.Micolta,C.Marrugo,F.Villasenor,C.Gutierrez,F.Acuna,J.Amione,C.Salom,P.Caceres,G.Esparza","30586,110331,70424,2847,277275,186059,277141,200588,71014,119033,74960,71038,163150,157866,200951,143928,37350,526492",,,PUE,Puebla,1,7847,,,Mexico,,2017-08-27 18:00,,,"L.Garcia,E. Velarde Calvillo,S.Garcia,M.Perg,R. Salinas,C.Esquivel,R.Sambueza,A.Rios Martinez,R.Lopez,A.Canelo,F.Uribe,O.Rojas,M.Centeno,Mateus,P.Barrientos,R.Gomez,M.Abundiz,J.Delgadillo","417520,70809,196205,428602,149043,71030,18651,163132,69654,616400,183547,178178,70887,673612,18733,445560,536505,559972",,,TOL,Toluca,2,6618,Mexico Liga MX,2522635,,2017/2018,,,7
"M.Fraga Nicona,J.Barreiro,D.Arreola,F.Erpen,J.Maduena,U.Luna,F. Martinez,L.Robles,J.Vigon,M.Alustiza,M.Caraglio,O.Ustari,G.Aguirre,J.Barraza,J.Salas,L.Reyes,B.Garnica,C.Tabo","70800,282254,141652,69724,302493,494954,237608,70453,350153,111033,113757,30992,721448,163151,558374,766849,684129,389892",,,ATL,Atlas,1,6577,,,Mexico,,2017-08-27 03:05,,,"M.Barovero,B.Beckeles,I.Lichnovsky,M. Ponce,M.De Luna,X.Baez,D.Villalpando,M.Iturra,J.Isijara,P.Velazquez,C.Gonzalez,D.Alvarez,M.Barragan,R.Alvarado,B.Colula,F.Pereyra,Y.Gutierrez,J.Gonzalez","113577,198777,298327,200992,111889,74885,518567,49866,215038,69168,614459,612772,494183,720737,658480,244570,70197,558633",,,NEC,Necaxa,2,1842,Mexico Liga MX,2522633,,2017/2018,,,7
"J.Orozco,J.Sanchez,N.Araujo,G.Arteaga,J.Enriquez,W.Sandoval,O.Martinez,B.Lozano,U.Rivas,J.Furch,Djaniny,J.Abella,D.De Buen,E.Armenteros,U.Davila,J.Rodriguez,J.Cortes,C.Acevedo","71526,727586,207793,797924,195536,346304,157424,583848,533769,211074,281338,466755,272616,18784,183484,495107,183539,751164",,,SAN,Santos,2,7857,,,Mexico,,2017-07-22 23:00,,,"L.Alvarez,C.Cercado Luna,Maza,L.Advincula,E.Tercero,C.Morales,A.Escoto,L.Quinones,P.Aquino,J. C. Medina,J.Quinones,J.Ibarra,D.Jimenez,A.Tejeda,W.Palacio,R.Godinez,L.Olascoaga,F.Canales","56674,242206,30964,190522,862169,70984,262724,425810,547745,70477,720560,180319,166588,112103,467048,393071,198103,165831",,,LDL,Lobos de la BUAP,2,162417,Mexico Liga MX,2522576,,2017/2018,,,1
"A.Blanco,O. Gonzalez,V.Guzman,R.Lopez,O.Murillo,R.Herrera,E.Garcia,J.Hernandez,J.Martinez,P.Lopez,R.de la Rosa,K. Honda,J.Esquivel,G.Cano,F.Figueroa,O.Perez,A.Pena,J.Calero","111877,168190,643749,432851,167928,169585,464759,159848,111904,688825,868061,72656,766570,113616,822211,30587,671970,611739",,,PAC,Pachuca,1,7848,,,Mexico,,2017-08-26 03:15,,,"G.Lajud,A.Donatti,D.Musto,J. C. Valenzuela,D.Perez,E.Aguilera,V.Malcorra,M.Aguirregaray,L.Chavez,L. Mendoza,G.Bou,J.Rodriguez,J. Corona,H.Martin,A.Guido,J.Iturbe,E.Kalinski,J.Nunez","528122,357493,46933,70475,147564,209273,362229,202790,527616,195583,119010,324432,277140,558452,418256,245572,209541,70989",,,TIJ,Tijuana,2,162418,Mexico Liga MX,2522629,,2017/2018,,,7
"F.Villasenor,B.Angulo,L.Venegas,P.Araujo,J.Aguirre,P.Miguez,F.Acuna,F.Micolta,D.Toledo,J.Guerrero,A.Navarro,J. A. Escoboza,O.Rojas,A.Zamora,C.Salom,J.Rodriguez,P.Caceres,G.Esparza","71038,110331,143886,70424,492646,116919,157866,119033,70858,72147,57077,277141,2847,186059,143928,716086,37350,526492",,,PUE,Puebla,0,7847,,,Mexico,,2017-07-23 01:00,,,"N.Guzman,I.Jimenez,Juninho,J. Torres Nilo,F.Meza,L.Zelarayan,E. Valencia,J. Aquino,J.Damm,E. Vargas,A.Gignac,D.Alvarez,J.Estrada,R.Torres,J.Torres,E.Palos,J.Diaz,A.Acosta","193993,141650,19287,70468,307477,322965,195927,172324,311701,50661,38098,73680,70971,861894,95292,70207,861893,199355",,,TIG,Tigres,5,8561,Mexico Liga MX,2522577,,2017/2018,,,1
"L.Garcia,E. Velarde Calvillo,S.Garcia,O. Gonzalez,R. Salinas,G.Hauche,J.Mendez,R.Sambueza,A.Rios Martinez,R.Gomez,F.Uribe,C.Esquivel,R.Pasquel,R.Lopez,P.Barrientos,A.Canelo,M.Abundiz,J.Delgadillo","417520,70809,196205,50590,149043,41018,18632,18651,163132,445560,183547,71030,862173,69654,18733,616400,536505,559972",,,TOL,Toluca,1,6618,,,Mexico,,2017-08-24 03:00,,,"H.Gonzalez,N.Sanchez,L.Fuentes,J. M. Basanta,J. S. Medina Ramirez,C.Sanchez,N.Cardozo,J.Gonzalez,R.Funes Mori,D. Pabon,A.Hurtado,C.Montes,E.Juarez,A.Gonzalez,J. Molina,E.Resendez,J.Benitez,A.Lopez","188123,113677,167052,18521,206767,188589,18807,862783,190511,158263,206227,664644,111885,292903,112081,643752,206856,788906",,,MON,Monterrey,4,7849,Mexico Liga MX,2522626,,2017/2018,,,6
"N.Guzman,Juninho,H. Ayala Castro,A.Acosta,L.Zelarayan,J. Aquino,L.Rodriguez,J.Duenas,E. Vargas,A.Gignac,V.Sosa,D.Alvarez,E. Valencia,J.Estrada,R.Torres,F.Meza,E.Palos,J.Damm","193993,19287,70455,199355,322965,172324,200875,163152,50661,38098,41552,73680,195927,70971,861894,307477,70207,311701",,,TIG,Tigres,1,8561,,,Mexico,,2017-08-13 01:06,,,"O.Perez,R.Lopez,E.Garcia,O.Murillo,R.Herrera,E.Aguirre,E.Gutierrez,J.Hernandez,V.Guzman,A.Sagal,J.Urretaviscaya,A.Blanco,J.Martinez,F.Figueroa,E.Puch,P.Lopez,A.Pena,R.de la Rosa","30587,432851,464759,167928,169585,564634,497838,159848,643749,304555,114680,111877,111904,822211,164290,688825,671970,868061",,,PAC,Pachuca,2,7848,Mexico Liga MX,2522606,,2017/2018,,,4
